Dataset,Link to CT scan data,Link to humerus,Link to femur,Class,Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Body_mass_literature (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference,Dentary Length (mm),Bi_Quad,tree_names
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157945,http://n2t.net/ark:/87602/m4/M157949,http://n2t.net/ark:/87602/m4/M157952,Mammalia,,Leporidae,Pronolagus rupestris,Smith's red rock hare,FMNH 177246,,1754,56.98,14,76.98,19.02,50.98,Q,Pronolagus rupestris
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158166,http://n2t.net/ark:/87602/m4/M158170,Mammalia,,Hyaenidae,Proteles cristatus,Aardwolf,NMS unnumbered,,10000,139.18,29.52,142.05,28.42,91.37,Q,Proteles cristata
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82457,http://n2t.net/ark:/87602/m4/M82461,http://n2t.net/ark:/87602/m4/M82464,Mammalia,,Pseudocheiridae,Pseudocheirus peregrinus,Common ringtail possum,UMZC A9.26/3,,900,54.42,15.83,72.95,19.13,43.4,Q,Pseudocheirus peregrinus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158138,http://n2t.net/ark:/87602/m4/M158141,Mammalia,,Cervidae,Pudu puda,Pudu,NMS 2011.141.1,,9750,116.69,34.93,129.73,39.49,113.58,Q,Pudu puda
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157403,http://n2t.net/ark:/87602/m4/M157406,http://n2t.net/ark:/87602/m4/M157409,Mammalia,,Macroscelididae,Rhynchocyon petersi,Black and rufous sengi,NHMUK1886.9.21.1,,424,37.51,10.25,54.87,14.43,50.29,Q,Rhynchocyon petersi
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82330,http://n2t.net/ark:/87602/m4/M82335,http://n2t.net/ark:/87602/m4/M82338,Mammalia,,Caenolestidae,Rhyncholestes raphanurus,Long-nosed caenolestid,FMNH 27476,,21,12.97,4.32,14.46,3.8,19.85,Q,Rhyncholestes raphanurus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M86127,http://n2t.net/ark:/87602/m4/M86131,Mammalia,,Dasyuridae,Sarcophilus harrisii,Tasmanian devil,NHMUK 2003.331,,10000,96.62,25.99,102.42,27.39,104.77,Q,Sarcophilus harrisii
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M160076,http://n2t.net/ark:/87602/m4/M160078,http://n2t.net/ark:/87602/m4/M160079,Mammalia,,Talpidae,Scapanus latimanus,Broad-footed mole,UMMZ 74584,,55,13.72,13.06,14.27,12.86,19.52,Q,Scapanus latimanus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157824,http://n2t.net/ark:/87602/m4/M157827,http://n2t.net/ark:/87602/m4/M157830,Mammalia,,Soricidae,Scutisorex somereni,Hero shrew,FMNH 160182,,91,16.8,5.28,20.03,5.63,17.7,Q,Scutisorex somereni
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140916,http://n2t.net/ark:/87602/m4/M140919,http://n2t.net/ark:/87602/m4/M140922,Mammalia,,Tenrecidae,Setifer setosus,Greater hedgehog tenrec,UMZC 2011.3.1,,294,32.17,6.61,32.68,10.1,36.72,Q,Setifer setosus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82320,http://n2t.net/ark:/87602/m4/M82325,http://n2t.net/ark:/87602/m4/M82328,Mammalia,,Dasyuridae,Sminthopsis crassicaudata,Fat-tailed dunnart,FMNH 72923,,15,11.88,2.95,12.82,2.95,17.31,Q,Sminthopsis crassicaudata
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157834,http://n2t.net/ark:/87602/m4/M157838,http://n2t.net/ark:/87602/m4/M157842,Mammalia,,Solenodontidae,Solenodon paradoxus,Solenodon,FMNH 51068,,900,49.84,17.7,48.7,16.12,54.47,Q,Solenodon paradoxus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141210,http://n2t.net/ark:/87602/m4/M141213,http://n2t.net/ark:/87602/m4/M141216,Mammalia,,Soricidae,Soriculus nigrescens,Himalayan shrew,UMMZ 122888,,14,9.11,3.77,10.69,3.48,11.34,Q,Soriculus nigrescens
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157846,http://n2t.net/ark:/87602/m4/M157849,http://n2t.net/ark:/87602/m4/M157852,Mammalia,,Octodontidae,Spalacopus cyanus,Coruro,FMNH 49943,,127,20.6,5.76,23.1,6.2,25.69,Q,Spalacopus cyanus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158147,http://n2t.net/ark:/87602/m4/M158151,Mammalia,,Canidae,Speothos venaticus,Bush dog,NMS 2015.96.3,,6000,101.9,28.08,110.44,27.12,100.43,Q,Speothos venaticus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141258,http://n2t.net/ark:/87602/m4/M141261,http://n2t.net/ark:/87602/m4/M141264,Mammalia,,Sciuridae,Spermophilopsis leptodactylus,Long-clawed ground squirrel,UMMZ 119250,,600,37.81,13.12,53.36,13.63,33.78,Q,Spermophilopsis leptodactylus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157970,http://n2t.net/ark:/87602/m4/M157960,http://n2t.net/ark:/87602/m4/M157964,Mammalia,,Herpestidae,Suricata suricatta,Meerkat,FMNH 101744,,726,47.02,11.7,49.9,12.79,41.18,Q,Suricata suricatta
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157866,http://n2t.net/ark:/87602/m4/M157869,http://n2t.net/ark:/87602/m4/M157872,Mammalia,,Soricidae,Sylvisorex howelli,Howell's forest shrew,FMNH ????????,,4,7.21,2.07,8.14,2.33,7.93,Q,Sylvisorex howelli
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157876,http://n2t.net/ark:/87602/m4/M157879,http://n2t.net/ark:/87602/m4/M157882,Mammalia,,Spalacidae,Tachyoryctes daemon,Demon African mole-rat,FMNH ???????,,348,28.54,9.55,32.41,10.72,32.43,Q,Tachyoryctes macrocephalus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157685,http://n2t.net/ark:/87602/m4/M157688,Mammalia,,Myrmecophagidae,Tamandua tetradactyla,Tamandua,NHMUK 70.1996,,5515,97.24,40.72,98.75,38.87,106.67,Q,Tamandua tetradactyla
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82391,http://n2t.net/ark:/87602/m4/M82394,http://n2t.net/ark:/87602/m4/M82397,Mammalia,,Tarsipidae,Tarsipes rostratus,Honey possum,UMMZ 122547,,9,12.77,3.13,15.78,3.76,18.3,Q,Tarsipes rostratus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157886,http://n2t.net/ark:/87602/m4/M157890,http://n2t.net/ark:/87602/m4/M157894,Mammalia,,Tarsiidae,Tarsius syrichta,Phillipine tarsier,FMNH 142007,,114,26.64,7.17,53.58,8.69,24.5,Q,Tarsius syrichta
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141220,http://n2t.net/ark:/87602/m4/M141223,http://n2t.net/ark:/87602/m4/M141226,Mammalia,,Tenrecidae,Tenrec ecaudatus,Tailless tenrec,UMMZ 138441,,868,41.16,13.45,45.81,12.86,61.21,Q,Tenrec ecaudatus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M86136,http://n2t.net/ark:/87602/m4/M86140,Mammalia,,Thylacinidae,Thylacinus cynocephalus,Thylacine,NHMUK 1963.8.30.1,,30000,171.59,47.06,204.68,46.58,199.01,Q,Thylacinus cynocephalus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82399,http://n2t.net/ark:/87602/m4/M82402,http://n2t.net/ark:/87602/m4/M82405,Mammalia,,Didelphidae,Thylamys elegans,Elegant fat-tailed mouse opossum,UMMZ 156033,,29,16.82,5.35,20.53,4.89,23.02,Q,Thylamys elegans
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158276,http://n2t.net/ark:/87602/m4/M158280,Mammalia,,Dasypodidae,Tolypeutes matacus,Southern three-banded armadillo,AMNH 248394,,1200,44.23,17.41,61.63,19.42,52.92,Q,Tolypeutes matacus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M68230,http://n2t.net/ark:/87602/m4/M68234,http://n2t.net/ark:/87602/m4/M68237,Mammalia,,Phalangeridae,Trichosurus vulpecula,Common brushtrail possum,UMZC A9.16/7,,2650,76.89,22.23,101.24,26.12,65.24,Q,Trichosurus vulpecula
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140948,http://n2t.net/ark:/87602/m4/M140951,http://n2t.net/ark:/87602/m4/M140954,Mammalia,,Tupaiidae,Tupaia glis,Common Treeshrew,UMZC E4057E,,170,29.36,4.35,34.25,10.74,33.28,Q,Tupaia glis
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157694,http://n2t.net/ark:/87602/m4/M157698,Mammalia,,Canidae,Urocyon cinereoargenteus,Grey fox,NHMUK 1850.11.22.62,,3834,95.93,25.16,109.79,26.14,89.84,Q,Urocyon cinereoargenteus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157896,http://n2t.net/ark:/87602/m4/M157899,http://n2t.net/ark:/87602/m4/M157902,Mammalia,,Tupaiidae,Urogale everetti,Mindanao treeshrew,FMNH 166482,,350,28.82,8.45,37.72,10.25,26.79,Q,Urogale everetti
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157904,http://n2t.net/ark:/87602/m4/M157908,http://n2t.net/ark:/87602/m4/M157912,Mammalia,,Viverridae,Viverra zibetha,Large Indian civet,FMNH 104395,,9000,112.62,31.48,135.81,34.3,97.22,Q,Viverra zibetha
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140956,http://n2t.net/ark:/87602/m4/M140960,http://n2t.net/ark:/87602/m4/M140963,Mammalia,,Viverridae,Viverricula indica,Small Indian civet,UMZC K4323,,2896,69.01,16.58,81.75,19.27,55.23,Q,Viverricula indica
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M83581,http://n2t.net/ark:/87602/m4/M83585,http://n2t.net/ark:/87602/m4/M83589,Mammalia,,Vombatidae,Vombatus ursinus,Common wombat,UMZC K3341,,26000,115.08,42.12,150.01,41.34,125.47,Q,Vombatus ursinus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141228,http://n2t.net/ark:/87602/m4/M141231,http://n2t.net/ark:/87602/m4/M141234,Mammalia,,Dipodidae,Zapus hudsonius,Meadow jumping mouse,UMMZ 157417,,17,10.08,2.82,15.65,3.75,11.07,Q,Zapus hudsonius
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M154996,http://n2t.net/ark:/87602/m4/M155005,http://n2t.net/ark:/87602/m4/M155007,Mammalia,,Anomaluridae,Zenkerella_insignis,Cameroon scaly-tail,NHMUK_5.5.23.27,,200,30.4,9.67,43.15,10.05,21.11,Q,Zenkerella insignis
Campione and Evans 2012,,,,Mammalia,Carnivora,Felidae,Acinonyx jubatus,Cheetah,ROM 111488,60400,50000,243.5,62.5,268.5,67.5,,Q,Acinonyx jubatus
Campione and Evans 2012,,,,Mammalia,Glires,Muridae,Acomys cahirinus,Cairo Spiny Mouse,ROM 87683,56,39,16.7,4.36,21.65,6.225,,Q,Acomys cahirinus
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Aepyceros melampus,Impala,AHR1985,60500,52500,,65,,69,,Q,Aepyceros melampus
Campione and Evans 2012,,,,Mammalia,Ungulata,Cervidae,Alces alces,Moose,ROM 18516,523000,355000,393,145.5,440,144,,Q,Alces alces
Campione and Evans 2012,,,,Mammalia,Carnivora,Canidae,Alopex lagopus,Arctic Fox,ROM 105014,3710,6285,112.15,23,114.68,24.85,,Q,Vulpes lagopus
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Ammotragus lervia,Barbary sheep,ROM 92686,49200,48000,181,65.75,212.5,67.25,,Q,Ammotragus lervia
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Antilope cervicapra,Blackbuck,ROM 74199,22000,37500,137.85,47.4,176.5,47.55,,Q,Antilope cervicapra
Campione and Evans 2012,,,,Mammalia,Euarchonta,Aotidae,Aotus trivirgatus,Three-striped Night Monkey,ROM 94422,1050,900,68.465,15,91.14,16.85,,Q,Aotus trivirgatus
Campione and Evans 2012,,,,Mammalia,Glires,Aplodontidae,Aplodontia rufa,Mountain Beaver,ROM R6571,953,1004,45.55,15,52.75,15.75,,Q,Aplodontia rufa
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Arctonyx collaris,Hog Badger,ROM 97264,5900,6356,96.56,32.1,109.04,29.3,,Q,Arctonyx collaris
Campione and Evans 2012,,,,Mammalia,Glires,Muridae,Arvicanthis niloticus,African Grass Rat,ROM 82849,120,139,21,6.5,28.65,9.05,,Q,Arvicanthis niloticus
Campione and Evans 2012,,,,Mammalia,Eulipotyphla,Erinaceidae,Atelerix albiventris,African pygmy hedgehog,ROM R6167,360,600,33.45,10.95,34.3,15.15,,Q,Atelerix albiventris
Campione and Evans 2012,,,,Mammalia,Eulipotyphla,Erinaceidae,Atelerix algirus,North African Hedgehog,ROM 111451,415,1250,33.8,10.2,34.25,11.7,,Q,Atelerix algirus
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Bison bison,Bison,AHR1985,1179000,579255,,191.5,,167.5,,Q,Bison bison
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Bison bonasus,European bison,ZMUC M 2270,310000,500000,350,130,418,122,,Q,Bison bonasus
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Bos gaurus,Gaur,ROM 82965,545000,500000,343.5,154.5,429,156.5,,Q,Bos gaurus
Campione and Evans 2012,,,,Mammalia,Euarchonta,Callitrichidae,Callithrix jacchus,Common Marmoset,ROM 101192,270,292,45.04,11.05,56.175,11.85,,Q,Callithrix jacchus
Campione and Evans 2012,,,,Mammalia,Ungulata,Camelidae,Camelus bactrianus,Bactrian Camel,ROM 77458,680400,690000,386,220,485,139.5,,Q,Camelus bactrianus
Campione and Evans 2012,,,,Mammalia,Carnivora,Canidae,Canis latrans,Coyote,ROM R6654,13608,13406,166.2,41,178.35,40.6,,Q,Canis latrans
Campione and Evans 2012,,,,Mammalia,Carnivora,Canidae,Canis lupus,Wolf,ROM 101841,32000,42750,211,53.25,226.5,51.75,,Q,Canis lupus
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Capra aegagrus,Wild goat,ROM 66884,29500,,165.1,58,183.65,58.95,,Q,Capra aegagrus
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Capra caucasica,West Caucasian Tur,ROM 88431,116800,55000,240,89,271.5,88,,Q,Capra caucasica
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Capra ibex,Alpine Ibex,ROM 78825,25420,101000,156.25,54.1,188.9,52.65,,Q,Capra ibex
Campione and Evans 2012,,,,Mammalia,Glires,Castoridae,Castor canadensis,Canadian Beaver,ROM 111459,12500,21820,78.8,34.5,104.2,49.75,,Q,Castor canadensis
Campione and Evans 2012,,,,Mammalia,Glires,Caviidae,Cavia porcellus,Guinea pig,ROM 98958,1200,728,40.45,12.6,48.5,16,,Q,Cavia porcellus
Campione and Evans 2012,,,,Mammalia,Euarchonta,Callitrichidae,Cebuella pygmaea,Pygmy Marmoset,ROM 97068,178,125,35.77,8.75,40.615,8.85,,Q,Cebuella pygmaea
Campione and Evans 2012,,,,Mammalia,Ungulata,Rhinocerotidae,Ceratotherium simum,White Rhinoceros,ZMUC M 4324,1900000,2949986,457,257,559,225,,Q,Ceratotherium simum
Campione and Evans 2012,,,,Mammalia,Euarchonta,Cercopithecidae,Cercopithecus neglectus,De Brazza's Monkey,ROM 111045,11450,5480,149.43,36.95,184.4,39.05,,Q,Cercopithecus neglectus
Campione and Evans 2012,,,,Mammalia,Ungulata,Cervidae,Cervus duvaucelii,Barasingha,ROM 94093,225000,143000,265.5,101.5,343,105,,Q,Rucervus duvaucelii
Campione and Evans 2012,,,,Mammalia,Ungulata,Cervidae,Cervus nippon,Sika Deer,ROM 88428,82200,53000,215,70,263.5,73,,Q,Cervus nippon
Campione and Evans 2012,,,,Mammalia,Glires,Chinchillidae,Chinchilla lanigera,Long-tailed chinchilla,ROM R5786,462,485,33.3,8.85,54.7,14.8,,Q,Chinchilla lanigera
Campione and Evans 2012,,,,Mammalia,Marsupialia,Didelphidae,Chironectes minimus,Water Opossum,ROM 98855,700,946,45.065,12.25,57.715,14.95,,Q,Chironectes minimus
Campione and Evans 2012,,,,Mammalia,Ungulata,Hippopotamidae,Choeropsis liberiensis,Pygmy Hippo,ZMUC M 4117,250000,235001,245,101,268.7,107,,Q,Choeropsis liberiensis
Campione and Evans 2012,,,,Mammalia,Xenarthra,Megalonychidae,Choloepus didactylus,Linnaeus's Two-toed Sloth,ROM 31160,6200,5160,166.2,40.25,157.85,43.25,,Q,Choloepus didactylus
Campione and Evans 2012,,,,Mammalia,Xenarthra,Megalonychidae,Choloepus hoffmanni,Hoffmann's Two-toed Sloth,ROM 89635,4500,3500,140.65,32.75,133.45,34.5,,Q,Choloepus hoffmanni
Campione and Evans 2012,,,,Mammalia,Eulipotyphla,Talpidae,Condylura cristata,Star-nosed mole,ROM 77166,59,84,13.9,10.05,15.9,6.3,,Q,Condylura cristata
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Connochaetes gnou,Black Wildebeest,ROM 88076,108500,179999,209,85.5,251,87,,Q,Connochaetes gnou
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Connochaetes taurinus,Blue wildebeest,AHR1985,256500,179999,,115,,100,,Q,Connochaetes taurinus
Campione and Evans 2012,,,,Mammalia,Glires,Nesomyidae,Cricetomys emini,Emin's Pouched Rat,ROM 100511,550,1300,46,12.65,61.15,16,,Q,Cricetomys emini
Campione and Evans 2012,,,,Mammalia,Carnivora,Herpestidae,Crossarchus obscurus,Common Kusimanse,ROM 89636,1190,1250,48.86,14.9,54.76,15.5,,Q,Crossarchus obscurus
Campione and Evans 2012,,,,Mammalia,Carnivora,Canidae,Cuon alpinus,Dhole,ROM 105074,15400,17000,158.3,42.35,173.75,44.15,,Q,Cuon alpinus
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Cynomys leucurus?,White-tailed prairie dog,ROM 79165,1130,909,40,13.5,48.25,13.5,,Q,Cynomys leucurus
Campione and Evans 2012,,,,Mammalia,Glires,Dasyproctidae,Dasyprocta aguti,Agouti,ROM 90845,2230,,74.5,20.5,93.95,28,,Q,Dasyprocta punctata
Campione and Evans 2012,,,,Mammalia,Xenarthra,Dasypodidae,Dasypus novemcinctus,Nine-banded armadillo,ROM R2385,3077,4204,55.16,22.25,83,29.9,,Q,Dasypus novemcinctus
Campione and Evans 2012,,,,Mammalia,Marsupialia,Dasyuridae,Dasyuroides byrnei,Kowari,ROM 101190,133,104,27.35,7.15,34.6,8.7,,Q,Dasyuroides byrnei
Campione and Evans 2012,,,,Mammalia,Marsupialia,Macropodidae,Dendrolagus inustus,Grizzled Tree-kangaroo,ROM 86035,18200,12625,140.7,48.25,183.5,56.25,,Q,Dendrolagus inustus
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Dicrostonyx groenlandicus,Northern collared lemming,ROM 96599,103,54,19.85,6.9,23,7.15,,Q,Dicrostonyx groenlandicus
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Dicrostonyx hudsonius,Ungava Collared Lemming,ROM 63549,109,,20,7.1,24.15,8,,Q,Dicrostonyx hudsonius
Campione and Evans 2012,,,,Mammalia,Glires,Cricetidae,Dicrostonyx richardsoni,Richardson's Collared Lemming,ROM 96743,95,57,19.5,5.8,23.35,5.6,,Q,Dicrostonyx richardsoni
Campione and Evans 2012,,,,Mammalia,Marsupialia,Didelphidae,Didelphis marsupialis,Oppossum,ROM 96214,1500,1091,63.05,17,80.855,18.8,,Q,Didelphis marsupialis
Campione and Evans 2012,,,,Mammalia,Marsupialia,Didelphidae,Didelphis virginiana,Virginia Opossum,ROM 75749,7500,2196,75.7,26.5,90.85,26.25,,Q,Didelphis virginiana
Campione and Evans 2012,,,,Mammalia,Glires,Caviidae,Dolichotis patagonum,Patagonian Mara,ROM 90847,8950,8000,113.6,28.6,129.35,35.35,,Q,Dolichotis patagonum
Campione and Evans 2012,,,,Mammalia,Glires,Echimyidae,Echimys didelphoides,Brazilian Spiny Tree Rat,ROM 107837,375,,30.4,10.1,39.3,13.5,,Q,Echimys chrysurus
Campione and Evans 2012,,,,Mammalia,Glires,Echimyidae,Echimys semivillosus,Speckled Spiny Tree-rat,ROM 107955,350,200,31.85,10.5,40.75,14.25,,Q,Echimys chrysurus
Campione and Evans 2012,,,,Mammalia,Eulipotyphla,Erinaceidae,Echinosorex gymnura,Moonrat,ROM 36803,610,957,45,11,49.45,13.05,,Q,Echinosorex gymnura
Campione and Evans 2012,,,,Mammalia,Ungulata,Cervidae,Elaphurus davidianus,Père David's Deer,ROM 62744,158800,149000,271.5,112.5,340.5,112,,Q,Elaphurus davidianus
Campione and Evans 2012,,,,Mammalia,Afrotheria,Elephantidae,Elephas maximus,Indian elephant,ZMUC 1399,3534000,2720000,830,310,980,315,,Q,Elephas maximus
Campione and Evans 2012,,,,Mammalia,Ungulata,Equidae,Equus burchelli?,Burchell's zebra,ROM 72119,272400,276000,259,118,363.5,137.5,,Q,Equus quagga
Campione and Evans 2012,,,,Mammalia,Ungulata,Equidae,Equus caballus,Horse (pony),ROM R8138,350000,250000,261.5,118.25,362,139.85,,Q,Equus caballus
Campione and Evans 2012,,,,Mammalia,Ungulata,Equidae,Equus zebra,Cape Mountain zebra,AHR1985,262000,400000,,132,,143,,Q,Equus zebra
Campione and Evans 2012,,,,Mammalia,Glires,Erethizontidae,Erethizon dorsatum,Porcupine,ROM R1949,9051,7085,105.1,29.65,121.3,37.4,,Q,Erethizon dorsatum
Campione and Evans 2012,,,,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus europaeus,European Hedgehog,ROM 79166,717,771,44.65,15.5,41.35,16.75,,Q,Erinaceus europaeus
Campione and Evans 2012,,,,Mammalia,Euarchonta,Lemuridae,Eulemur fulvus,Common Brown Lemur,ROM 68120,1192,3150,74.095,16.05,116.44,19.8,,Q,Eulemur fulvus
Campione and Evans 2012,,,,Mammalia,Euarchonta,Galagidae,Euoticus elegantulus,Southern Needle-clawed Bushbaby,ROM 55711,260,300,38.26,11.2,65.34,12,,Q,Euoticus elegantulus
Campione and Evans 2012,,,,Mammalia,Carnivora,Felidae,Felis catus,Domestic cat,ZMUC 3629-CH2005,8400,,104,28.5,119.5,30,,Q,Felis catus
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Funisciurus pyrrhopus,Fire-footed Rope Squirrel,ROM 100573,190,297,31.8,9.1,41.55,10.25,,Q,Funisciurus pyrropus
Campione and Evans 2012,,,,Mammalia,Carnivora,Herpestidae,Galerella sanguinea,Slender Mongoose,ROM 58390,1100,550,45.5,14,51.25,14.5,,Q,Ichneumia albicauda
Campione and Evans 2012,,,,Mammalia,Glires,Geomyidae,Geomys bursarius,Plains Pocket Gopher,ROM 72875,168,204,23.25,10.25,26.45,9.15,,Q,Geomys bursarius
Campione and Evans 2012,,,,Mammalia,Glires,Muridae,Gerbillus gerbillus,Lesser Gerbil,ROM 88169,79,25,16.3,5.1,25.45,8,,Q,Gerbillus gerbillus
Campione and Evans 2012,,,,Mammalia,Glires,Muridae,Gerbillus pyramidum,Greater Egyptian Gerbil,ROM 88173,62,49,16.5,5.2,25.1,7.3,,Q,Gerbillus pyramidum
Campione and Evans 2012,,,,Mammalia,Ungulata,Giraffidae,Giraffa camelopardalis,Giraffe,ROM 99207,990000,899995,495,218,520,188,,Q,Giraffa camelopardalis
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Gulo gulo,Wolverine,ROM 32287,16556,19500,136.25,39.75,141.5,35,,Q,Gulo gulo
Campione and Evans 2012,,,,Mammalia,Marsupialia,Petauridae,Gymnobelideus leadbeateri,Leadbeater's possum,ROM 101194,107,127,24.2,7.75,34.9,8.2,,Q,Gymnobelideus leadbeateri
Campione and Evans 2012,,,,Mammalia,Carnivora,Herpestidae,Helogale parvula,Common Dwarf Mongoose,ROM 58387,450,300,34.6,11,36,12,,Q,Helogale parvula
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,ROM 69484,31100,35200,172.5,61.4,184.8,57.8,,Q,Hemitragus jemlahicus
Campione and Evans 2012,,,,Mammalia,Carnivora,Herpestidae,Herpestes javanicus,Small Asian Mongoose,ROM 74045,384,750,42.2,11.6,46.84,12.5,,Q,Herpestes javanicus
Campione and Evans 2012,,,,Mammalia,Afrotheria,Procaviidae,Heterohyrax brucei,Yellow-spotted Rock Hyrax,ROM 64992,3650,2625,78.2,21.75,79.5,24.25,,Q,Heterohyrax brucei
Campione and Evans 2012,,,,Mammalia,Glires,Heteromyidae,Heteromys desmarestianus,Desmarest's Spiny Pocket Mouse,ROM 96134,94,73,19.3,6.15,28.8,8.9,,Q,Heteromys desmarestianus
Campione and Evans 2012,,,,Mammalia,Glires,Heteromyidae,Heteromys gaumeri,Gaumer's Spiny Pocket Mouse,ROM 95659,81,64,19.6,6,28.1,8.2,,Q,Heteromys gaumeri
Campione and Evans 2012,,,,Mammalia,Glires,Heteromyidae,Heteromys goldmani,Goldman's Spiny Pocket Mouse,ROM 97674,82,85,20.65,6.1,29.1,8.7,,Q,Heteromys desmarestianus
Campione and Evans 2012,,,,Mammalia,Ungulata,Hippopotamidae,Hippopotamus amphibius,Hippo,ROM 94513,1264000,1417490,422.5,182.5,467,188.5,,Q,Hippopotamus amphibius
Campione and Evans 2012,,,,Mammalia,Glires,Hydrochaeridae,Hydrochaeris hydrochaeris,Capybara,ROM 73588,56500,62450,191.5,60.5,223.5,70.5,,Q,Hydrochoerus hydrochaeris
Campione and Evans 2012,,,,Mammalia,Ungulata,Cervidae,Hydropotes inermis,Water deer,ROM 75959,24290,14000,117.95,33.95,153.7,43.65,,Q,Hydropotes inermis
Campione and Evans 2012,,,,Mammalia,Euarchonta,Hylobatidae,Hylobates lar,Lar Gibbon,ROM 77534,6400,4892,238.05,28.5,203.6,31.45,,Q,Hylobates lar
Campione and Evans 2012,,,,Mammalia,Carnivora,Herpestidae,Ichneumia albicauda,White-tailed Mongoose,ROM 58383,4760,3500,93.3,23.1,108.72,27.05,,Q,Ichneumia albicauda
Campione and Evans 2012,,,,Mammalia,Ungulata,Camelidae,Lama guanicoe,Guanaco,ROM 33659,123800,120000,253,100,315,95,,Q,Lama guanicoe
Campione and Evans 2012,,,,Mammalia,Euarchonta,Lemuridae,Lemur catta,Ring-tailed Lemur,ROM 114614,2300,2900,89.39,21,143.39,26.8,,Q,Lemur catta
Campione and Evans 2012,,,,Mammalia,Carnivora,Felidae,Leopardus pardalis,Ocelot,ZMUC 1111-CH2005,13900,11900,144.5,40.5,165,42,,Q,Leopardus pardalis
Campione and Evans 2012,,,,Mammalia,Glires,Leporidae,Lepus americanus,Snowshoe Hare,ROM 82454,1294,1710,75.7,14.5,98.25,19.65,,Q,Lepus americanus
Campione and Evans 2012,,,,Mammalia,Glires,Leporidae,Lepus arcticus,Arctic Hare,ROM 94615,4500,4405,109.15,22,129.2,30,,Q,Lepus arcticus
