Dataset,Link to CT scan data,Link to humerus,Link to femur,Class,Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Body_mass_literature (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference,Dentary Length (mm),Bi_Quad,tree_names
Campione and Evans 2012,,,,Mammalia,Glires,Geomyidae,Thomomys talpoides,Northern Pocket Gopher,ROM 102659,210,130,25.65,10.7,28.9,10.3,,Q,Thomomys talpoides
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Tragelaphus angasii,Nyala,AHR1985,134500,86600,,99,,97,,Q,Tragelaphus angasii
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Tragelaphus scriptus,Bushbuck,AHR1985,50900,43250,,56,,62,,Q,Tragelaphus scriptus
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Tragelaphus strepsiceros,Kudu,AHR1985,301000,213501,,140,,135,,Q,Tragelaphus strepsiceros
Campione and Evans 2012,,,,Mammalia,Euarchonta,Tuapiidae,Tupaia glis,Common Treeshrew,ROM 75961,176,159,27.3,7,35.85,9.35,,Q,Tupaia glis
Campione and Evans 2012,,,,Mammalia,Carnivora,Canidae,Urocyon cinereoargentus,Gray fox,ROM 14309,4800,3834,102.74,24.1,115,27.15,,Q,Urocyon cinereoargenteus
Campione and Evans 2012,,,,Mammalia,Carnivora,Ursidae,Ursus americanus,Black bear,ROM 71435,204000,99949,296,101.5,302,96.5,,Q,Ursus americanus
Campione and Evans 2012,,,,Mammalia,Carnivora,Ursidae,Ursus arctos,Grizzly bear,ROM 35699,435500,139441,400.5,146.25,445.5,126.25,,Q,Ursus arctos
Campione and Evans 2012,,,,Mammalia,Carnivora,Ursidae,Ursus maritimus,Polar bear,AHR1985,447695,352501,,158,,135,,Q,Ursus maritimus
Campione and Evans 2012,,,,Mammalia,Carnivora,Viverridae,Viverricula indica,Lesser oriental civet,ROM R629,2600,2980,78.3,21.2,92.95,24.1,,Q,Viverricula indica
Campione and Evans 2012,,,,Mammalia,Carnivora,Canidae,Vulpes velox,Swift Fox,ROM 105398,2300,2198,99.88,21.55,99.17,23.3,,Q,Vulpes velox
Campione and Evans 2012,,,,Mammalia,Carnivora,Canidae,Vulpes vulpes,Red Fox,ROM 28025,6000,4132,125.1,26.25,127.62,26.95,,Q,Vulpes vulpes
Campione and Evans 2012,,,,Mammalia,Carnivora,Canidae,Vulpes zerda,Fennec Fox,ROM 91467,1000,1100,68.2,16.25,70.4,16.25,,Q,Vulpes zerda
